review_id,reply,2段階
183366928,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

清潔感やサービスに対するお褒めの言葉、大変嬉しく思います。特に出汁のお味を気に入っていただけたとのこと、スタッフ一同励みになります。

アクセスに関してはお客様にとってご不便をおかけし、申し訳ございませんでした。しかし、地元の方々に助けられたご旅行となったとのお言葉を拝見し、安心いたしました。

またのお越しを心よりお待ちしております。","この度は、オリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。また、貴重なご感想をお寄せいただき、大変嬉しく思います。

清潔な部屋やスタッフの対応、ウエルカムドリンクをお楽しみいただけたとのこと、私たちのサービスが快適なご滞在のお手伝いできたことに感謝いたします。アクセスに関してのご不便については、ご迷惑をおかけし申し訳ございません。しかし、地元の方々が親切にサポートしてくださったとのお話に、少し安心いたしました。

今後ともお客様にとって心地よい滞在を提供できるよう努めてまいりますので、ぜひまたのお越しを心よりお待ちしております。"
183366930,"この度は、貴重なご意見をいただき誠にありがとうございます。

おハガキや手紙の受け取りについて、スムーズに行かずご不便をおかけし申し訳ございませんでした。ポストの場所が分かりづらかったとのこと、スタッフ一同で改善に努めてまいります。

お客様のご指摘は、今後のサービス向上に大変貴重なものと受け止めております。

またのご来館を心よりお待ちしております。","この度は貴重なご意見をいただき、誠にありがとうございます。

お手紙の受け取りについてご不便をおかけし申し訳ございません。お客様のご意見は、サービス向上に向けて大変重要なものと受け止めております。スタッフ一同、改善に努めて参ります。

今後ともオリエンタルホテル京都六条をどうぞよろしくお願いいたします。お客様のまたのご来館を心よりお待ちしております。 

オリエンタルホテル京都六条"
183366935,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

駅からの距離や観光に適した立地を評価していただけたこと、大変嬉しく思っております。また、浴槽やアメニティの使い勝手、ロビーでの飲み物サービスについてもお楽しみいただけたことに感謝申し上げます。

今後も快適なご滞在を提供できるよう努めてまいりますので、ぜひまたのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

駅から距離がある中で、観光の拠点としてお選びいただけたことを大変嬉しく思います。また、広い浴槽やアメニティの整備、ロビーでの飲み物サービスにご満足いただけたようで、安らぎのひとときを提供できたことを光栄に感じております。

今後ともより良いサービスを心がけて参りますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366939,"この度は、オリエンタルホテル 京都六条にご宿泊いただき、誠にありがとうございます。

当ホテルの立地や施設に関する貴重なご意見をいただき、感謝申し上げます。確かに、厳しい暑さの中、徒歩でのアクセスが大変な場合もございますね。また、チェックイン時の端末操作でご不便をおかけし申し訳ございません。次回は、よりスムーズにご利用いただけるよう、スタッフ一同努めてまいります。

お水のサービスについてはご評価いただきうれしく思いますが、冷蔵庫がない点についてはご不便をおかけいたしました。お客様の貴重なご意見は、今後の改善に活かさせていただきます。

お部屋に関するご感想も、しっかりと受け止めさせていただきました。お客様のご期待に応えられるよう、努めてまいります。

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。また、貴重なご意見をお寄せいただき感謝いたします。

アクセスやチェックイン時の操作について、ご不便をおかけし申し訳ございませんでした。スタッフがサポートできたことは嬉しく思いますが、よりスムーズにご利用いただけるよう改善に努めてまいります。

冷蔵庫の設置についても、ご期待に沿えず残念に思います。頂戴したご意見をもとに、快適な滞在を提供できるよう工夫していきますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366943,"この度はご利用いただき、誠にありがとうございます。

お部屋に関するご意見をいただき感謝申し上げます。ユニットバスの狭さやトイレの数について不便を感じられたとのこと、大変申し訳ございません。お客様のご指摘は、今後の改善に役立ててまいります。

また、スタッフの対応やチェックイン時の説明不足についてもご不便をおかけし、申し訳ございませんでした。サービス向上に努めてまいります。

お客様の貴重なご意見を大切にし、より良いホテルを目指します。またのご来館を心よりお待ちしております。","この度は貴重なご意見をいただき、誠にありがとうございます。

お部屋に関してご満足いただけたこと、大変嬉しく思います。一方で、ユニットバスの狭さや、チェックイン時の説明不足、アメニティに関するご指摘については、ご不便をおかけし申し訳ございません。いただきましたご意見は、今後の改善に活かしてまいります。

また、従業員の対応についてもご指摘いただき感謝いたします。サービス向上に向け、スタッフ一同取り組んで参ります。

お客様にはより快適にお過ごしいただけるよう、努めてまいりますので、ぜひまたのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366944,"この度はご利用いただき、誠にありがとうございます。

朝食をお楽しみいただけたとのこと、大変嬉しく思います。お客様からの温かいお言葉は、スタッフ一同の励みになります。

一方で、ベッドに関してご不便をおかけし申し訳ございません。お客様のご意見は今後の改善に活かしてまいりますので、貴重なご感想をいただき感謝申し上げます。

またのご来館を心よりお待ちしております。","ご来館いただき、誠にありがとうございます。

朝食をお楽しみいただけたとのことで、大変嬉しく思います。私たちの料理が朝のひとときに彩りを添えられたなら幸いです。

一方で、ベッドに関してご不便をおかけし申し訳ございません。お客様のご意見をしっかりと受け止め、今後の改善に努めてまいります。

またのご来館を心よりお待ちしております。"
183366953,"お客様

この度はご利用いただき、誠にありがとうございます。

チェックイン時の領収書発行やウェルカムドリンク、さらにエアコンの温度調整に関してご不便をおかけし申し訳ございません。スタッフ間の相互フォローや、設備についての対応を改善し、快適にお過ごしいただけるよう努めて参ります。

お部屋の清潔さについてはご満足いただけたようで嬉しく思いますが、その他の点に関するご指摘は真摯に受け止め、今後のサービス向上に活かさせていただきます。

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

チェックイン時に領収書の発行ができなかったことや、ウエルカムドリンクに関する不足について、ご不便をおかけし申し訳ございません。また、スタッフ間の連携不足や、お部屋の設備面のご指摘も心より感謝申し上げます。

お客様からいただきましたご意見は、今後の改善に活かさせていただきます。快適なご滞在を提供できるよう努めてまいりますので、次回お越しいただける際には、より良いサービスをご体験いただければ幸いです。

またのお越しを心よりお待ちしております。"
183366954,"この度は当ホテルをご利用いただき、誠にありがとうございます。

お洒落な雰囲気を感じていただけたとのこと、大変嬉しく思います。また、朝食やカレーに関するご意見もお寄せいただき、ありがとうございます。

一方で、ゴミ箱の件やフロントでの対応についてご不便をおかけし、申し訳ございませんでした。スタッフ一同、改善に向けて努めてまいります。

また、エアコンの温度管理やお部屋の状態についても貴重なご意見をいただき感謝いたします。これからもお客様に快適にお過ごしいただけるよう、取り組んで参ります。

お忙しい中、詳細なご感想をお寄せいただきありがとうございます。次回のご来館を心よりお待ちしております。","この度は、オリエンタルホテル 京都六条にご滞在いただき、誠にありがとうございます。  
落ち着いた雰囲気やお洒落な空間をお楽しみいただけたとのことで、大変嬉しく思います。

しかしながら、いくつかの清掃に関する点やフロントの対応についてご不便をおかけし申し訳ございません。  
ご指摘いただきました内容については、すぐに改善に取り組む所存です。お客様からの貴重なご意見をサービス向上に活かしてまいります。

朝食やお部屋に関するご感想もありがとうございました。お客様にご満足いただけるよう、さらなる品質向上に努めます。  
またのご来館を心よりお待ち申し上げております。  
オリエンタルホテル京都六条"
183366956,"この度はご宿泊いただき、誠にありがとうございます。

美味しい朝食をお楽しみいただけたとのお言葉、大変嬉しく思っております。西京焼きを気に入っていただけたことは、スタッフ一同の励みになります。

当ホテルでは、様々なお料理をご用意しておりますので、次回のご来館の際にもぜひ他のメニューもお試しいただければと存じます。

またのお越しを心よりお待ちしております。","この度はオリエンタルホテル京都六条にご来館いただき、誠にありがとうございます。

ご朝食をお楽しみいただけたとのことで、大変嬉しく思っております。特に西京焼きについてのご感想をお寄せいただき、心より感謝申し上げます。

お客様のまたのご来館を心よりお待ちしております。"
183366960,"この度は当ホテルをご利用いただき、誠にありがとうございます。

お褒めのお言葉をいただき、大変嬉しく思います。雰囲気や快適さについてご満足いただけたとのこと、スタッフ一同励みになります。 

駅からのアクセスについてもご理解いただき、ありがとうございます。タクシーやバスをご利用いただけるとのことで、少しでも利便性を感じていただけたら嬉しいです。 

次回はぜひ、さまざまなサービスをご利用いただける機会をお待ちしております。 

またのご来館を心よりお待ちしております。","お忙しい中、口コミをお寄せいただき誠にありがとうございます。

ご出張でのご利用、またお部屋の雰囲気や清潔さについてお褒めの言葉をいただき、大変嬉しく思います。駅からのアクセスに関しましても、タクシーやバスの利用が便利である点をご理解いただき、感謝申し上げます。

次回お越しいただいた際には、ぜひサービスもご利用いただければと思います。スタッフ一同、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366980,"この度は、オリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

バスルームやホテル周辺の清掃状態についてご不快な思いをさせてしまい、心よりお詫び申し上げます。清潔な環境をご提供することは私たちの最優先事項ですので、頂いたご指摘を真摯に受け止め、早急に改善に努めて参ります。

貴重なご意見をいただき、ありがとうございます。これからもお客様に快適にお過ごしいただけるよう、スタッフ一同尽力して参ります。

またのお越しを心よりお待ちしております。","この度はオリエンタルホテル京都六条にご滞在いただき、誠にありがとうございます。

しかしながら、バスルームの臭いや玄関周りの不快な状況について、ご迷惑をおかけし申し訳ございません。お客様に快適にお過ごしいただけるよう、清掃や管理を徹底してまいります。

貴重なご意見をいただき、心より感謝申し上げます。次回のご来館の際には、より良いサービスを提供できるよう努めてまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366982,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

京都の雰囲気や静かな環境をお楽しみいただけたこと、大変嬉しく思います。また、ウェルカムドリンクや朝食の内容についてもご満足いただけたようで、スタッフ一同喜んでおります。

お出汁の温かさや風味が気に入っていただけたとのことで、何度でもおかわりしていただけるのは嬉しい限りです。紙コップに関してご不便をおかけし申し訳ございません。次回はより快適にお過ごしいただけるよう、改善に努めて参ります。

また、地元の銭湯や和食の朝食についてもお褒めの言葉をいただき、光栄です。ご滞在が満足のいくものであったとのこと、何よりの励みになります。

次回京都にお越しの際も、ぜひ当ホテルをお選びいただけますよう、心よりお待ち申し上げております。","この度は素敵な口コミをいただき、誠にありがとうございます。

京都の落ち着いた雰囲気をご堪能いただけたこと、大変嬉しく思います。また、ウェルカムドリンクや朝食の和食、特に湯豆腐をお気に召していただけたこと、スタッフ一同喜んでおります。

紙コップに関するご意見も大変貴重で、今後の改善に努めさせていただきます。近隣の銭湯や静かな環境についてもお楽しみいただけたようで、何よりです。

さらに次回のご来館を心よりお待ちしております。京都での素敵な思い出を、また一緒に作れることを楽しみにしています。

オリエンタルホテル京都六条"
183366985,"この度は、貴重なご意見をいただき誠にありがとうございます。

以前宿泊された際の雰囲気が良かったとのこと、大変嬉しく思いますが、近年の清掃状態や施設の劣化についてご指摘いただき、心よりお詫び申し上げます。お客様にご満足いただける滞在を提供できるよう、スタッフ一同努めて参ります。

今後とも改善に取り組み、お客様に選ばれるホテルを目指してまいりますので、またのご来館を心よりお待ちしております。","貴重なご意見をいただき、誠にありがとうございます。

以前のご宿泊時に良い印象を持っていただいていたこと、大変嬉しく思います。しかしながら、最近のご滞在においてご期待に沿えず、ご不便をおかけし申し訳ございませんでした。

清掃やメンテナンスに関しましては、改善が必要であると認識しております。ご指摘いただいた点を真摯に受け止め、今後の改善に努めて参ります。

次回はより良いご滞在を提供できるよう努力してまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183366999,"この度はオリエンタルホテル 京都六条にご宿泊いただき、誠にありがとうございます。

当ホテルの美しさをお褒めいただき、大変嬉しく思っております。お客様にご満足いただける滞在を提供できるよう、スタッフ一同努力してまいります。

またのご来館を心よりお待ちしております。","ご利用いただき、誠にありがとうございます。

当ホテルの清潔さや快適さを実感していただけたとのことで、大変嬉しく思っております。お客様にご満足いただけるよう、スタッフ一同努めてまいります。

またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367004,"この度は当ホテルをご利用いただき、誠にありがとうございます。

朝食や広々とした空間、スタッフの丁寧な対応についてお褒めの言葉をいただき、大変嬉しく思っております。

ただ、アクセスや立地に関してご不便をおかけしてしまい申し訳ございません。近隣のレストラン情報なども、今後の参考にさせていただきます。

またのご来館を心よりお待ちしております。","この度は、オリエンタルホテル 京都六条にご宿泊いただき、誠にありがとうございます。

ご朝食や館内の広々とした空間を気に入っていただけたとのこと、大変嬉しく思います。静かな環境でゆったりお過ごしいただけたことが、私たちにとって何よりの喜びです。また、アメニティや周辺レストランについての貴重なご意見、心より感謝申し上げます。

スタッフの対応についてもお褒めの言葉をいただき、光栄です。今後もお客様に快適にお過ごしいただけるよう、より一層努力してまいります。

またのご来館を心よりお待ちしております。"
183367006,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

お部屋に関する貴重なご意見をいただき、感謝申し上げます。テーブルの設置についてのご提案、スタッフ一同の参考にさせていただきます。

ご滞在がより快適なものとなるよう、今後も努めて参りますので、またのご来館を心よりお待ちしております。","ご意見を賜り、誠にありがとうございます。

テーブルの設置についての貴重なご提案、心より感謝申し上げます。お客様の声を真摯に受け止め、今後の改善に活かして参ります。

またのご来館を心よりお待ちしております。 

オリエンタルホテル京都六条"
183367007,"この度は貴重なご意見をいただき、誠にありがとうございます。

浴槽の清掃につきましてご不便をおかけし、申し訳ございません。今後、清掃の徹底に努め、改善を図って参ります。

また、アメニティについてのご要望もありがとうございます。スタッフ一同、今後のサービス向上に活かしてまいります。

アクセスに関しまして、ご不便をおかけする点についても理解しておりますので、今後の検討材料にさせていただきます。

スタッフの対応についてお褒めの言葉を頂戴し、大変嬉しく思います。またのご来館を心よりお待ちしております。","この度は貴重なご意見を賜り、誠にありがとうございます。

浴槽の栓に関する清掃が行き届いておらず、ご不快な思いをおかけしたこと、心よりお詫び申し上げます。今後は清掃業務の徹底を図り、衛生管理の向上に努めて参ります。また、アメニティグッズについても貴重なご指摘をいただき、感謝いたします。今後のサービス改善に活かして参ります。

スタッフ対応に関するお褒めの言葉もいただき、大変嬉しく思っております。アクセス面についてもご理解いただき、ありがとうございます。

またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367010,"この度は、ご宿泊いただき誠にありがとうございます。

お客様のご期待に沿えず、大変申し訳ございませんでした。お荷物の管理やスタッフの対応についてご不便をおかけし、ご満足いただけなかったことを心よりお詫び申し上げます。

お部屋の冷房やコンセントの件についても、快適にお過ごしいただけなかったことを重く受け止め、今後の改善に努めて参ります。

ご指摘いただきました点につきましては、スタッフ一同で真摯に受け止め、より良いサービスを提供できるよう、改善を図ってまいります。

貴重なご意見をありがとうございました。次回は少しでもご満足いただけるよう、心よりお待ち申し上げております。","この度は、オリエンタルホテル京都六条をご利用いただき、誠にありがとうございます。

ご滞在中におけるチェックイン時やお荷物の取り扱いに際し、ご期待にお応えできなかったことを心よりお詫び申し上げます。特にお名前の誤りやスタッフの対応については、厳しく改善を図ってまいります。

また、冷房やアメニティに関してもご不便をおかけしたこと、大変申し訳ございません。お客様に快適にお過ごしいただけるよう、スタッフの教育や施設の見直しを進めてまいります。

次回ご利用の際には、より良いサービスをご提供できるよう努めて参りますので、またのご来館を心よりお待ちしております。"
183367051,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

お部屋の広さや内装、スタッフの対応にご満足いただけたこと、大変嬉しく思います。また、朝食やラウンジサービスについても貴重なご意見をいただき感謝いたします。

今後の参考にさせていただき、お客様によりご満足いただけるよう努めてまいります。

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル 京都六条をご利用いただき、誠にありがとうございます。

立地や内装、スタッフの対応についてお褒めのお言葉をいただき、大変嬉しく思っております。また、お部屋の広さにもご満足いただけたとのこと、何よりでございます。

朝食についての貴重なご意見、ありがとうございます。品数については今後の参考にさせていただき、より良いサービスを提供できるよう努めて参ります。ラウンジサービスをお楽しみいただけたとのこと、嬉しく思います。

今後ともお客様にご満足いただけるサービスを提供できるよう、スタッフ一同努力して参りますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367056,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

スタッフの初々しさや、心温まるサービスをお楽しみいただけたとのこと、大変嬉しく思っております。

ラウンジのお菓子や朝食についてもお褒めの言葉をいただき、ありがとうございます。特にデザートの手作り最中が印象に残ったとのことで、スタッフ一同とても励みになります。

駅からの距離に関しましては、観光に便利であったとのお言葉をいただき、安心いたしました。次回の京都旅行でもぜひまたお越しいただければ幸いです。

またのご来館を心よりお待ちしております。","この度は、オリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

スタッフへの温かいお言葉をありがとうございます。お客様にとって、心地よい滞在となったことを大変嬉しく思います。シンプルなお部屋やラウンジのアーモンドキャラメルがお気に召したようで、何よりです。

また、朝食の白味噌のお味噌汁や手作り最中を楽しんでいただけたとのことで、私たちのこだわりが伝わったことに感謝いたします。

次回の京都旅行の際も、ぜひお越しください。スタッフ一同、またのご来館を心よりお待ちしております。 

オリエンタルホテル京都六条"
183367067,"この度はオリエンタルホテル 京都六条にご宿泊いただき、誠にありがとうございます。

快適にお過ごしいただけたとのことで、大変嬉しく思います。朝食のお豆腐やフリードリンクもお気に召していただけたようで何よりです。

また、銭湯や交通の便についてもご評価いただきありがとうございます。お客様にとって便利な立地を提供できていることは、私たちの喜びです。

今後ともお客様が快適にお過ごしいただける空間を提供してまいりますので、またのご来館を心よりお待ちしております。","この度は、オリエンタルホテル京都六条に2泊のご利用を賜り、誠にありがとうございます。

快適にお過ごしいただけたとのお言葉、大変嬉しく思っております。特に朝食のお豆腐やフリードリンクもお楽しみいただけたようで、スタッフ一同喜んでおります。

お近くの銭湯や交通の便利さについてのご感想もいただき、ありがとうございます。これからも皆様に心地よくお過ごしいただけるよう努めて参りますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367068,"この度はご宿泊いただき、誠にありがとうございます。

当ホテルの清潔さや機能性を評価いただき、大変嬉しく思います。また、朝食会場についてのご意見もありがとうございます。多国籍なお客様がいらっしゃる中で、日本のご滞在が肩身を狭く感じさせてしまったこと、心よりお詫び申し上げます。

今後は、日本のお客様にも快適にお過ごしいただけるよう、サービスの改善に努めてまいります。お風呂の水圧についても、貴重なご意見として受け止めさせていただきます。

またのご来館を心よりお待ちしております。","この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

清潔感や機能性についてのお褒めの言葉をいただき、大変嬉しく思います。しかし、朝食会場の混雑や騒音がご不便をおかけしたこと、また日本人のお客様にとって居心地が悪く感じられた点について、心よりお詫び申し上げます。いただいたご意見は、今後の改善に活かさせていただきます。

お風呂の水圧に関しましても貴重なご指摘をいただき、感謝申し上げます。より快適にご利用いただける環境づくりに努めてまいります。

今後ともお客様にご満足いただけるよう努力してまいりますので、またのご来館を心よりお待ちしております。

オリエンタルホテル京都六条"
183367069,"この度はオリエンタルホテル京都六条にご宿泊いただき、誠にありがとうございます。

建物の美しさに関してお褒めいただきましたが、清掃やアメニティについてのご指摘をいただき、心より感謝申し上げます。清掃が十分でなかったこと、ご不便をおかけし申し訳ございません。アメニティについても、より充実したご提案を検討いたします。

また、朝食に関する配置やサラダのご要望についても貴重なご意見として承り、今後の改善に努めてまいります。便利な案内も含め、お客様にとってより快適なご滞在となるよう、一層の努力を重ねてまいります。

またのご来館を心よりお待ちしております。","この度は貴重なご意見をいただき、誠にありがとうございます。

建物の清掃状態やアメニティに関するご指摘については、改善に向けてスタッフ一同、しっかりと取り組んでまいります。また、コンビニの距離についても情報提供に関する考慮をしてまいります。

朝食の配置に関しましてもご不便をおかけし、申し訳ございません。お客様のご意見を参考に、より快適にお楽しみいただけるよう工夫して参ります。サラダのご提供についても真摯に検討いたします。

この度のご意見を心より感謝申し上げます。次回のご利用を心よりお待ちしております。 

オリエンタルホテル京都六条"
